1;Besenov;1;49
2;BidovceC;2;47
3;Brezolupy;2;29
4;BrodnoC;2;1
5;Brusno;1;25
6;BudcaC;2;52
7;Bukov;1;2
8;Caka;2;59
9;CaradiceC;2;63
10;Dargov;2;48
11;DetvaC;2;33
12;Dobra Niva;1;43
13;Dolne KockovceC;2;62
14;DS;1;45
15;DubnicaC;2;25
16;Dudince;1;43
17;Figa;1;32
18;Giraltovce;2;13
19;Handlova;1;25
20;HlohovecC;2;25
21;HoliceC;2;54
22;Hontianske Nemce;1;43
23;Horna Stubna;1;18
24;hranica;1;52
25;Hriadky;1;39
26;Hronska BreznicaC;2;52
27;Hronsky BenadikC;2;63
28;Hunkovce;2;18
29;ChocholnaC;2;25
30;Jablonov nad Turnou;2;43
31;KapusanyC;2;10
32;Klacany;1;51
33;KNM;2;2
34;KosiceC;2;46
35;Krasno;1;2
36;KrivanC;2;33
37;Krupina;1;43
38;Kukova;2;12
39;Kutniky;1;46
40;Lehota;2;31
41;Lipniky;2;11
42;LovcicaC;2;32
43;Lucenec;1;29
44;Lucenec Zapad;1;51
45;Maly Krtis;2;60
46;MartinC;2;20
47;Mestecko;2;61
48;Michalovce;2;50
49;Mnichova Lehota;2;27
50;Moldava nad Bodvou;2;45
51;Mosovce;2;22
52;Mytna;2;34
53;Neded;2;57
54;Nitra VychodC;2;63
55;Nitra ZapadC;2;63
56;NovakyVychod;2;31
57;NovakyZapad;1;24
58;NZ;2;58
59;Okruhle;2;14
60;Opatovce;1;54
61;Ostratice;1;54
62;Ozdany;2;36
63;PataC;2;63
64;PiestanyC;2;63
65;Plesivec;1;33
66;Podzavoz;1;2
67;Pozdisovce;2;49
68;Pribovce;2;21
69;PrievidzaJuh;2;31
70;PstrusaC;2;52
71;Puchov;1;53
72;Raztocno;2;24
73;Rimavska Sobota;1;30
74;Roznava;2;42
75;Ruskovce;2;29
76;Saca;2;46
77;Sahy;2;53
78;Sazdice;1;50
79;Sebedrazie;2;31
80;Semerovce;1;43
81;Skalite;1;2
82;Sklene;2;23
83;Sobrance;2;51
84;Strocin;2;15
85;Svidnik Juh;1;10
86;Svidnik Sever;2;17
87;Svodov;1;50
88;Svrcinovec;1;2
89;Tesmak;1;44
90;Tomasovce;2;35
91;Topolcany;1;54
92;Tornala;2;40
93;Trencianska Turna;2;26
94;Trstice;1;47
95;Turna nad Bodvou;1;35
96;Vysny Komarnik;1;8
97;Zahor;1;42
98;Zacharovce;2;37
99;Zlate MoravceC;2;63
100;Dlha nad Oravou;2;8
101;Dolny Kubin juh;2;5
102;Dolny Kubin sever;2;6
103;Nizna;1;3
104;Podbiel;1;3
105;Trstena;1;3
106;Tvrdosin;1;3
107;Likavka;2;4
