1;Bratislava  mestska cast Stare Mesto;39953
2;Bratislava  m c Podunajske Biskupice;21862
3;Bratislava  mestska cast Ruzinov;72032
4;Bratislava  mestska cast Vrakuna;20198
5;Bratislava  mestska cast Nove Mesto;38002
6;Bratislava  mestska cast Raca;21384
7;Bratislava  mestska cast Vajnory;5707
8;Bratislava  m c Devinska Nova Ves;16009
9;Bratislava  mestska cast Dubravka;33187
10;Bratislava  mestska cast Karlova Ves;33355
11;Bratislava  mestska cast Devin;1382
12;Bratislava  mestska cast Lamac;7201
13;Bratislava  m c Zahorska Bystrica;4898
14;Bratislava  mestska cast Cunovo;1402
15;Bratislava  mestska cast Jarovce;2100
16;Bratislava  mestska cast Petrzalka;103473
17;Bratislava  mestska cast Rusovce;3778
18;Zahorie vojensky obvod;151
19;Male Levare;1208
20;Plavecke Podhradie;656
21;Plavecky Mikulas;724
22;Rohoznik okres Malacky;3465
23;Solosnica;1552
24;Studienka;1636
25;Velke Levare;3579
26;Zavod;2807
27;Borinka;747
28;Gajary;3009
29;Jablonove okres Malacky;1250
30;Jakubov;1604
31;Kostoliste;1490
32;Kuchyna;1702
33;Lab;1737
34;Lozorno;3012
35;Malacky;17357
36;Marianka;1985
37;Pernek;862
38;Plavecky Stvrtok;2348
39;Stupava;11099
40;Suchohrad;650
41;Vysoka pri Morave;2287
42;Zahorska Ves;1868
43;Zohor;3313
44;Bahon;1815
45;Budmerice;2393
46;Casta;2235
47;Dolany okres Pezinok;1086
48;Dubova okres Pezinok;1042
49;Jablonec;999
50;Svaty Jur;5593
51;Limbach;2014
52;Modra;8934
53;Pezinok;22633
54;Pila okres Pezinok;330
55;Slovensky Grob;3177
56;Senkvice;4809
57;Stefanova;341
58;Vinicne;2385
59;Vinosady;1359
60;Vistuk;1314
61;Boldog;459
62;Hruba Borsa;774
63;Hruby Sur;935
64;Hurbanova Ves;325
65;Kostolna pri Dunaji;651
66;Kralova pri Senci;1955
67;Reca;1471
68;Bernolakovo;6805
69;Blatne;1748
70;Cataj;1176
71;Hamuliakovo;1953
72;Chorvatsky Grob;5388
73;Ivanka pri Dunaji;6564
74;Kalinkovo;1278
75;Malinovo;3115
76;Miloslavov;2433
77;Most pri Bratislave;3024
78;Nova Dedinka;2503
79;Rovinka;3681
80;Senec;19086
81;Tomasov;2499
82;Turen;1123
83;Velky Biel;2494
84;Vlky;414
85;Dunajska Luzna;6133
86;Igram;575
87;Kaplna;763
88;Zalesie okres Senec;1992
89;Novy Svet;95
90;Dunajska Streda;22641
91;Bac;563
92;Baka;1083
93;Balon;760
94;Blahova;365
95;Blatna na Ostrove;893
